"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5530","Step 03: Enter invalid Email ID and valid PIN, and verify the toast message","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","10518","Step 12: Verify Screen Time Limits","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","18649","Step 13: Verify Manage Geofence functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","9292","Step 18: Verify Feedback section","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","2722","Step 19: Verify Account Settings section","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","3714","Step 02: Verify Login Page is displayed after clicking on Parent Login","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","24220","Step 14: Verify Lock Device functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","38782","Step 15: Verify Find My Phone functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","6761","Step 07: Verify and click on Click Here to Manage Device option","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","8957","Step 20: Verify Logout functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","284","Step 05: Enter valid Email ID and valid PIN, and navigate to the Dashboard Page","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","5575","Step 04: Enter valid Email ID and invalid PIN, and verify the toast message","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","25953","Step 08: Verify Swap Kid functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","27768","Step 17: Verify Reports section","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","15482","Step 10: Move a random application from Allowed to Restricted and Restricted to Allowed","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","23937","Step 16: Verify Unlock Device functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","49437","Step 01: Verify Home Page and click on Parent Login","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","10775","Step 11: Verify App Lock and Time Limits functionality","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","21","Step 09: Verify Allowed Apps count","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
"","7336","Step 06: Verify Dashboard Page elements after successful login","chromium","2026-04-09","passed","2026-04-09","KidSecure Web Automation","","",""
